file,bpm,score_rythme,score_musicalite,score_rythme_alt,score_musicalite_alt,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,zcr_mean,genre_ambient,genre_classical,genre_electronic,genre_jazz,genre_latino,genre_pop,genre_reggea,genre_rock,genre_simple_note,genre_unknown,genre_voice,version_degraded_musicality,version_degraded_rhythm,version_original
guitar/319235_Clean_Electric_Guitar_Loop.mp3,-0.19509776480758564,-1.0580606558272556,-0.6440321031894,,,0.7491465367543605,0.7547159891272847,-0.9679984634813622,0.4688025295666651,-1.5673650429278438,-2.520926730865396,-1.013401934451749,-0.9332529349489483,-0.9102271107750829,-0.940305172435146,-0.3026118580460947,-0.10909756515938988,-0.030263509738230058,-1.1435106643047148,-0.040404363639944374,-1.2485568870319428,-1.1520096527957415,-1.0638623035289934,-1.2181444733098894,-0.6530133698482925,-1.2986569868409057,-0.851485560286219,-1.5241231447702162,-1.1647608345290366,-1.2390816247823342,0.1313188817490125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
audio_degraded/guitar_60139_Guitar_chord_3__degraded_musicality.wav,-0.4802541296251392,0.6790538537398797,0.3470432058637181,1.1039633378242044,-0.040613110157266805,-0.08602824507952826,0.7577298913789338,1.4354217007396075,-0.01034433387487105,0.8836354690426024,0.6270714675663099,0.5865203973930363,-0.5728242514059022,-0.7495700263799201,-0.989581024826478,-0.19306296037685802,-0.2860936926923988,-0.46476297018741336,1.280413085899667,-0.5974013108771037,-0.9118129663548707,0.8690771962072704,-0.06019744050638089,0.13096646146031565,0.3628273248617249,0.7601069303859078,-0.639898929589599,-1.4552603643984712,-1.242478100122033,-0.5619794186877332,-0.5601513746147467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
sfx/629349_2770_1-FP-SWOOSH-SW-TMc_78_F#4.aif.mp3,-0.043014370238223756,0.6790538537398797,0.6774016422147574,,,0.07866427766918851,-2.6068711834744986,-1.0693959547391185,-0.41142526612151237,-1.4941690260326221,0.3220699331221692,-0.5446188957970077,0.8038269406155676,-0.5707360411007494,1.1588976378921463,-1.4869876890365903,1.2943057479852629,-1.808338944236448,0.5195415635859233,0.5661090997355616,0.5145205691720864,0.580318717250956,0.39408092888722634,0.532507650875587,0.640482633269601,0.4626307628837878,0.8757107320537175,0.9854534885462958,0.5776405102280223,0.4626183260950424,4.20028731038951,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
voice/507400_VocalTraining_2_(Still_getting_used_to_the_sound_of_my_own_voice).mp3.mp3,0.7364130269297559,-0.015791950086974406,-2.626182721295636,,,0.07215358024074334,0.4246144260551749,0.48448053645750727,0.1389810272309432,0.3701866199572941,1.2476093874346377,-1.343592384946172,-0.06758248526009748,-0.8600013799876653,-0.20580491144727678,-0.05466262927289437,-1.1463221931943393,0.676477594403325,-0.2668368177275823,0.0032535511837061535,0.22013502060343276,0.4188158056686824,0.3074338755744213,0.4291209009934793,0.6726340823200494,0.6811655385283326,0.3477741085906469,0.005874356641526958,-0.08321864660514297,-0.2155247556615096,-0.04606905167590243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
audio_degraded/drums_457378_kick_17__degraded_rhythm.wav,0.2041211459369893,-4.937176383825587e-16,0.0,-2.058906831148722,,1.8591693448194744,-0.4629925051906086,0.06006562645495366,0.7165863687405867,-0.7127524053009685,1.1127648527531169,-0.38027429780192945,1.4784587995145284,-0.5114210214696732,1.6870652125958343,-0.2561796104132367,1.6868494196229733,-0.5784680446113294,1.1072622815502453,1.378343886364678,1.7122028456363265,1.5164040894498376,1.0577960507753033,1.2536608928175577,1.2897727771555518,0.7685548018715348,0.4917459050827245,0.5284218262110141,0.577624157241973,0.6974379454781523,0.6418320818525816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
audio_degraded/guitar_616238_45__degraded_rhythm.wav,-0.2711394620922666,0.6790538537398797,0.6774016422147574,0.1551022871323264,1.0959632380984596,-1.7669409994272551,0.2562902035799515,1.949139532885381,0.8910612325726577,0.7530821689007655,1.0829427328056296,-0.1396039719069381,0.29604644010620795,-0.45299307491561813,0.047464083708256374,-0.40549455945456514,-0.42333485548065286,-1.0051955747952945,-0.6342585443643461,-0.6979663527836303,-1.2511053789723727,-0.28207818882204583,1.7489034709906301,0.9948303361975318,-0.9070943808133904,-0.5369154688324025,0.7203042601130211,1.8500213346192529,1.0132778059693965,-0.03372366940157733,-0.6334616650518259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
audio_degraded/ambient_622735_AMBCnst_Long_ambience_jackhammer_on_street_recorded_from_5th_floor_balcony_in_Sao_Paulo_Brazil__degraded_rhythm.wav,0.16610029729464884,-4.937176383825587e-16,0.0,-2.058906831148722,,0.5001883389096865,0.8347328756291885,-1.102324281202521,0.044619285439771485,-0.3660946718710232,-0.1608410987192557,-0.17510530603809824,0.14905516838080607,0.2124379702152604,-0.8281276404881092,1.3972323005887215,0.271103046866523,0.019761804433514617,0.4129341099739665,0.4828795296812927,0.7122595579429539,0.6248272104824425,0.5398744235656805,0.5423616446578621,0.7425705783855344,0.7024354656571768,0.5686760805643203,0.6749431216215064,0.7132094099128022,0.5591580436973521,0.17760819976778613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
audio_degraded/drums_457378_kick_17__degraded_musicality.wav,0.2041211459369893,-4.937176383825587e-16,0.0,,-1.9758647301602605,1.8502118771278497,-0.08500464936090558,-0.04870019927981329,1.3146897002663875,-0.5861738553235666,1.8436075313647349,-0.5447175629544538,2.220224896916809,-0.6604048631215496,1.7865653674490771,-0.2892250059576996,1.72802163802887,0.048617683180962434,1.8602336098237597,1.6753331942882186,1.6509356002754838,1.6433251581002084,0.9958891731630982,0.5168375332918032,0.30505578401167244,0.37799974141527826,0.7245110832787041,0.9912552366730218,1.4925600190509414,2.010969214860983,-0.38564353201598317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
guitar/47862_D#_min.mp3,-0.8034313430850332,0.6790538537398797,0.6774016422147574,,,1.1812711452785478,-0.01817439857907284,-1.1809185143407643,2.1603629056076232,-0.05723019288930108,-0.8715894065712355,0.9203099719291304,0.1599399211302435,-0.8478415553998627,-1.6251815081379686,-0.34068348971491036,-0.41627665483235754,-1.203757526418027,-1.6147810890587206,-1.3040934058745457,0.34123261160458734,2.445965702538004,0.9341681818963635,-0.9936291611256356,-1.295345135552182,-1.5175585397051699,-1.5990011703933427,-1.311534093784108,-0.4321496447345389,-1.098632938216149,0.3480599968730839,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
audio_degraded/piano_665803_Piano_in_11_8_099__degraded_rhythm.wav,0.014016902725286952,-0.36321485200040143,0.3470432058637181,-0.5091004483519881,0.7887804412725877,-1.341372823986559,-0.9929035130678168,0.5486989475874198,-0.8061314690951503,0.16458379430614772,0.6168423142082535,1.9285161363925873,1.7998314697075253,1.3641094704309025,0.0943328089979995,0.18416038456292097,0.6424899128086184,2.0433415137295023,-0.808116567914775,-0.8223870258431558,-0.5516285414992407,1.0300755162063875,-0.4945294124923565,-0.6264043562148347,0.19244241641515605,-0.6944113114245661,-0.845298067383054,-0.835968315065933,-0.6901169174795447,-0.8407244611219642,-0.18601084392059572,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
